gi|478482906|ref|YP_007713556.1|CAS-V|cpf1|cpf1,KK211384.1,KLE02041.1,KXB38146.1,AUKC01000013.1,AUKD01000009.1,KKR91555.1,KKQ38174.1,KIX20262.1,EDZ90881.1,LFLB01000034.1,EHR33500.1,EOS46485.1,JHWS01000001.1,KE384587.1,KE384190.1,KK211334.1,KE384028.1,KE384121.1,KFO67989.1,AKC95493.1,KL370853.1,GL995220.1,KEJ92204.1,KUJ74576.1,BBPY01000028.1,BBPZ01000036.1,KKQ36153.1,WP_003040289.1,WP_004356401.1,WP_012739647.1,WP_013282991.1,WP_018359861.1,WP_020988726.1,WP_021736722.1,KDN25524.1,WP_024988992.1,AIZ56868.1,WP_035635841.1,WP_036890108.1,WP_044910712.1,WP_044919442.1,KKP36646.1,KKT48220.1
       0.0,     233.0,     233.0,     233.0,     233.0,     233.0,     234.0,     233.0,     233.0,     234.0,     233.0,     233.0,     233.0,     233.0,     233.0,     233.0,     233.0,     233.0,     233.0,     233.0,     233.0,     233.0,     233.0,     233.0,     233.0,       0.0,     233.0,     234.0,     234.0,     233.0,     233.0,     233.0,     233.0,     233.0,     234.0,     233.0,     233.0,     233.0,     233.0,     233.0,     234.0,     233.0,       0.0,     233.0
     233.0,       0.0,     225.0,     225.0,     225.0,     226.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     226.0,     225.0,     225.0,     225.0,     225.0,     225.0,       0.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,     225.0,       0.0,     225.0
     233.0,     225.0,       0.0,     462.0,     462.0,     462.0,     462.0,     462.0,     463.0,     462.0,     462.0,     462.0,     464.0,     462.0,     462.0,     462.0,     462.0,     462.0,     462.0,     464.0,     463.0,     462.0,     462.0,     462.0,     462.0,       0.0,     462.0,     462.0,     462.0,     462.0,     462.0,     462.0,     462.0,     463.0,     462.0,     463.0,     462.0,     462.0,     462.0,     462.0,     462.0,     462.0,       0.0,     462.0
     233.0,     225.0,     462.0,       0.0,     218.0,     218.0,     218.0,     218.0,     220.0,     218.0,     218.0,     218.0,     226.0,     218.0,     219.0,     219.0,     218.0,     218.0,     219.0,     223.0,     218.0,     218.0,     218.0,     218.0,     220.0,       0.0,     218.0,     218.0,     218.0,     218.0,     219.0,     218.0,     222.0,     218.0,     218.0,     218.0,     219.0,     218.0,     218.0,     218.0,     218.0,     218.0,       0.0,     218.0
     233.0,     225.0,     462.0,     218.0,       0.0,     280.0,     254.0,     254.0,     254.0,     254.0,     254.0,     254.0,     254.0,     254.0,     255.0,     291.0,     254.0,     255.0,     301.0,     265.0,     254.0,     254.0,     254.0,     254.0,     254.0,       0.0,     255.0,     254.0,     254.0,     254.0,     254.0,     254.0,     254.0,     254.0,     254.0,     254.0,     254.0,     254.0,     254.0,     254.0,     254.0,     364.0,       0.0,     254.0
     233.0,     226.0,     462.0,     218.0,     280.0,       0.0,     229.0,     229.0,     229.0,     229.0,     229.0,     229.0,     231.0,     229.0,     229.0,     258.0,     229.0,     229.0,     265.0,     247.0,     229.0,     229.0,     229.0,     235.0,     229.0,       0.0,     234.0,     229.0,     229.0,     229.0,     229.0,     229.0,     229.0,     229.0,     229.0,     229.0,     229.0,     229.0,     233.0,     229.0,     229.0,     271.0,       0.0,     229.0
     234.0,     225.0,     462.0,     218.0,     254.0,     229.0,       0.0,      57.0,      57.0,      58.0,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,       0.0,      57.0,      58.0,      58.0,      57.0,      57.0,      57.0,      57.0,      57.0,      58.0,      57.0,      57.0,      57.0,      57.0,      57.0,      58.0,      57.0,       0.0,      57.0
     233.0,     225.0,     462.0,     218.0,     254.0,     229.0,      57.0,       0.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,       0.0,     175.0,     175.0,     177.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     175.0,     176.0,     175.0,     175.0,     175.0,       0.0,     176.0
     233.0,     225.0,     463.0,     220.0,     254.0,     229.0,      57.0,     175.0,       0.0,     188.0,     187.0,     187.0,     187.0,     187.0,     191.0,     187.0,     190.0,     187.0,     187.0,     187.0,     187.0,     187.0,     187.0,     187.0,     188.0,       0.0,     187.0,     187.0,     188.0,     188.0,     187.0,     187.0,     187.0,     187.0,     187.0,     191.0,     187.0,     187.0,     187.0,     188.0,     187.0,     187.0,       0.0,     187.0
     234.0,     225.0,     462.0,     218.0,     254.0,     229.0,      58.0,     175.0,     188.0,       0.0,     153.0,     153.0,     153.0,     153.0,     154.0,     153.0,     153.0,     153.0,     153.0,     153.0,     153.0,     153.0,     153.0,     153.0,     158.0,       0.0,     153.0,     154.0,    1100.0,     153.0,     153.0,     153.0,     153.0,     153.0,     154.0,     154.0,     153.0,     153.0,     153.0,     153.0,     154.0,     153.0,       0.0,     153.0
