gi|478482906|ref|YP_007713556.1|CAS-V|cpf1|cpf1,KK211384.1,KLE02041.1,KXB38146.1,AUKC01000013.1,AUKD01000009.1,KKR91555.1,KKQ38174.1,KIX20262.1,EDZ90881.1,LFLB01000034.1,EHR33500.1,EOS46485.1,JHWS01000001.1,KE384587.1,KE384190.1,KK211334.1,KE384028.1,KE384121.1,KFO67989.1,AKC95493.1,KL370853.1,GL995220.1,KEJ92204.1,KUJ74576.1,BBPY01000028.1,BBPZ01000036.1,KKQ36153.1,WP_003040289.1,WP_004356401.1,WP_012739647.1,WP_013282991.1,WP_018359861.1,WP_020988726.1,WP_021736722.1,KDN25524.1,WP_024988992.1,AIZ56868.1,WP_035635841.1,WP_036890108.1,WP_044910712.1,WP_044919442.1,KKP36646.1,KKT48220.1
       0.0,     240.0,     240.0,     241.0,     242.0,     241.0,     241.0,     240.0,     241.0,     241.0,     243.0,     240.0,     244.0,     241.0,     240.0,     243.0,     240.0,     240.0,     243.0,     245.0,     243.0,     248.0,     248.0,     243.0,     241.0,       0.0,     241.0,     241.0,     241.0,     242.0,     250.0,     240.0,     242.0,     242.0,     245.0,     240.0,     242.0,     244.0,     241.0,     244.0,     241.0,     243.0,       0.0,     240.0
     240.0,       0.0,     232.0,     237.0,     235.0,     243.0,     232.0,     232.0,     234.0,     232.0,     232.0,     237.0,     233.0,     232.0,     241.0,     235.0,     236.0,     236.0,     235.0,     251.0,     232.0,     237.0,     232.0,     241.0,     246.0,       0.0,     245.0,     232.0,     232.0,     232.0,     232.0,     232.0,     232.0,     238.0,     236.0,     241.0,     239.0,     232.0,     237.0,     233.0,     232.0,     237.0,       0.0,     232.0
     240.0,     232.0,       0.0,     486.0,     474.0,     481.0,     469.0,     469.0,     487.0,     474.0,     469.0,     470.0,     496.0,     478.0,     476.0,     481.0,     471.0,     470.0,     486.0,     494.0,     473.0,     469.0,     471.0,     477.0,     481.0,       0.0,     481.0,     469.0,     476.0,     469.0,     470.0,     469.0,     474.0,     491.0,     474.0,     475.0,     480.0,     469.0,     477.0,     485.0,     469.0,     480.0,       3.0,     469.0
     241.0,     237.0,     486.0,       0.0,     234.0,     230.0,     225.0,     225.0,     248.0,     234.0,     226.0,     227.0,     244.0,     234.0,     242.0,     238.0,     233.0,     225.0,     239.0,     269.0,     229.0,     230.0,     226.0,     232.0,     241.0,       0.0,     238.0,     225.0,     240.0,     234.0,     231.0,     225.0,     240.0,     240.0,     237.0,     244.0,     250.0,     229.0,     231.0,     258.0,     225.0,     234.0,       0.0,     225.0
     242.0,     235.0,     474.0,     234.0,       0.0,     342.0,     264.0,     262.0,     268.0,     267.0,     262.0,     263.0,     276.0,     295.0,     274.0,     378.0,     268.0,     269.0,     381.0,     287.0,     267.0,     264.0,     263.0,     273.0,     275.0,       7.0,     272.0,     261.0,     270.0,     271.0,     267.0,     261.0,     267.0,     271.0,     264.0,     269.0,     275.0,     271.0,     274.0,     276.0,     261.0,     533.0,       0.0,     266.0
     241.0,     243.0,     481.0,     230.0,     342.0,       0.0,     236.0,     236.0,     241.0,     241.0,     237.0,     240.0,     246.0,     250.0,     241.0,     311.0,     242.0,     238.0,     331.0,     261.0,     239.0,     238.0,     237.0,     250.0,     243.0,       0.0,     250.0,     236.0,     241.0,     239.0,     238.0,     236.0,     242.0,     246.0,     239.0,     241.0,     249.0,     239.0,     253.0,     242.0,     236.0,     327.0,       3.0,     237.0
     241.0,     232.0,     469.0,     225.0,     264.0,     236.0,       0.0,      65.0,      64.0,      65.0,      64.0,      64.0,      67.0,      67.0,      64.0,      67.0,      67.0,      67.0,      64.0,      64.0,      64.0,      64.0,      64.0,      64.0,      64.0,       3.0,      64.0,      65.0,      65.0,      67.0,      64.0,      64.0,      64.0,      64.0,      65.0,      64.0,      67.0,      64.0,      66.0,      64.0,      65.0,      67.0,       0.0,      67.0
     240.0,     232.0,     469.0,     225.0,     262.0,     236.0,      65.0,       0.0,     182.0,     183.0,     182.0,     184.0,     183.0,     183.0,     182.0,     183.0,     183.0,     184.0,     182.0,     182.0,     182.0,     182.0,     182.0,     182.0,     182.0,       2.0,     183.0,     182.0,     191.0,     183.0,     182.0,     182.0,     183.0,     182.0,     182.0,     182.0,     183.0,     182.0,     183.0,     182.0,     182.0,     183.0,       0.0,     186.0
     241.0,     234.0,     487.0,     248.0,     268.0,     241.0,      64.0,     182.0,       0.0,     203.0,     195.0,     197.0,     209.0,     197.0,     221.0,     201.0,     210.0,     196.0,     205.0,     233.0,     196.0,     195.0,     195.0,     208.0,     217.0,       0.0,     202.0,     194.0,     206.0,     202.0,     198.0,     194.0,     198.0,     201.0,     198.0,     222.0,     205.0,     206.0,     198.0,     210.0,     194.0,     202.0,       0.0,     194.0
     241.0,     232.0,     474.0,     234.0,     267.0,     241.0,      65.0,     183.0,     203.0,       0.0,     160.0,     161.0,     165.0,     161.0,     168.0,     166.0,     161.0,     160.0,     167.0,     173.0,     160.0,     160.0,     164.0,     172.0,     176.0,       0.0,     169.0,     161.0,    1186.0,     160.0,     161.0,     160.0,     167.0,     164.0,     168.0,     168.0,     160.0,     165.0,     160.0,     160.0,     161.0,     164.0,       0.0,     164.0
