# YP_680426.1,NP_044927.1,NP_049542.1,NP_043941.1,YP_068409.1,AAB95450.1,YP_077178.1,YP_077180.1,AAS99264.1,AAT46337.1,AAT46339.1,ABZ10812.1,ABI16639.1,ABA71701.1,ABA71699.1,pdb|4IOV|A
       0.0,     206.0,     407.0,     476.0,     143.0,     411.0,     382.0,     395.0,     363.0,     400.0,     212.0,     488.0,     200.0,     402.0,     406.0,     208.0
     206.0,       0.0,     226.0,     224.0,     128.0,     226.0,     227.0,     223.0,     218.0,     226.0,     371.0,     256.0,     337.0,     226.0,     227.0,     373.0
     407.0,     226.0,       0.0,     427.0,     136.0,     701.0,     445.0,     428.0,     377.0,     431.0,     271.0,     433.0,     198.0,     701.0,     696.0,     275.0
     476.0,     224.0,     427.0,       0.0,     136.0,     432.0,     392.0,     404.0,     393.0,     406.0,     223.0,     565.0,     212.0,     422.0,     426.0,     218.0
     143.0,     128.0,     136.0,     136.0,       0.0,     142.0,     138.0,     131.0,     137.0,     129.0,     117.0,     141.0,     112.0,     145.0,     145.0,     117.0
     411.0,     226.0,     701.0,     432.0,     142.0,       0.0,     446.0,     432.0,     375.0,     435.0,     271.0,     440.0,     199.0,     701.0,     696.0,     275.0
     382.0,     227.0,     445.0,     392.0,     138.0,     446.0,       0.0,     496.0,     360.0,     497.0,     258.0,     397.0,     198.0,     443.0,     439.0,     255.0
     395.0,     223.0,     428.0,     404.0,     131.0,     432.0,     496.0,       0.0,     409.0,     563.0,     252.0,     412.0,     199.0,     422.0,     427.0,     248.0
     363.0,     218.0,     377.0,     393.0,     137.0,     375.0,     360.0,     409.0,       0.0,     407.0,     203.0,     414.0,     193.0,     375.0,     376.0,     208.0
     400.0,     226.0,     431.0,     406.0,     129.0,     435.0,     497.0,     563.0,     407.0,       0.0,     254.0,     421.0,     193.0,     425.0,     430.0,     258.0
     212.0,     371.0,     271.0,     223.0,     117.0,     271.0,     258.0,     252.0,     203.0,     254.0,       0.0,     228.0,     384.0,     270.0,     271.0,     718.0
     488.0,     256.0,     433.0,     565.0,     141.0,     440.0,     397.0,     412.0,     414.0,     421.0,     228.0,       0.0,     199.0,     434.0,     433.0,     225.0
     200.0,     337.0,     198.0,     212.0,     112.0,     199.0,     198.0,     199.0,     193.0,     193.0,     384.0,     199.0,       0.0,     199.0,     200.0,     385.0
     402.0,     226.0,     701.0,     422.0,     145.0,     701.0,     443.0,     422.0,     375.0,     425.0,     270.0,     434.0,     199.0,       0.0,     696.0,     275.0
     406.0,     227.0,     696.0,     426.0,     145.0,     696.0,     439.0,     427.0,     376.0,     430.0,     271.0,     433.0,     200.0,     696.0,       0.0,     276.0
     208.0,     373.0,     275.0,     218.0,     117.0,     275.0,     255.0,     248.0,     208.0,     258.0,     718.0,     225.0,     385.0,     275.0,     276.0,       0.0
