# YP_680426.1,NP_044927.1,NP_049542.1,NP_043941.1,YP_068409.1,AAB95450.1,YP_077178.1,YP_077180.1,AAS99264.1,AAT46337.1,AAT46339.1,ABZ10812.1,ABI16639.1,ABA71701.1,ABA71699.1,pdb|4IOV|A
       0.0,      46.0,     192.0,     296.0,       9.0,     216.0,     154.0,     172.0,     146.0,     176.0,      45.0,     305.0,      61.0,     188.0,     201.0,      45.0
      46.0,       0.0,      66.0,      66.0,       8.0,      61.0,      61.0,      52.0,      86.0,      61.0,     182.0,     121.0,     103.0,      61.0,      61.0,     182.0
     192.0,      66.0,       0.0,     203.0,       3.0,     632.0,     282.0,     252.0,     158.0,     260.0,     151.0,     209.0,      49.0,     631.0,     623.0,     151.0
     296.0,      66.0,     203.0,       0.0,      10.0,     216.0,     177.0,     188.0,     175.0,     177.0,      57.0,     398.0,      71.0,     196.0,     209.0,      57.0
       9.0,       8.0,       3.0,      10.0,       0.0,      13.0,       3.0,       3.0,      10.0,       3.0,       2.0,      10.0,       7.0,      13.0,      13.0,       2.0
     216.0,      61.0,     632.0,     216.0,      13.0,       0.0,     287.0,     256.0,     160.0,     275.0,     136.0,     222.0,      55.0,     631.0,     625.0,     136.0
     154.0,      61.0,     282.0,     177.0,       3.0,     287.0,       0.0,     302.0,     147.0,     310.0,     132.0,     162.0,      53.0,     283.0,     271.0,     132.0
     172.0,      52.0,     252.0,     188.0,       3.0,     256.0,     302.0,       0.0,     180.0,     404.0,     121.0,     174.0,      56.0,     236.0,     251.0,     121.0
     146.0,      86.0,     158.0,     175.0,      10.0,     160.0,     147.0,     180.0,       0.0,     176.0,      55.0,     215.0,      53.0,     157.0,     160.0,      55.0
     176.0,      61.0,     260.0,     177.0,       3.0,     275.0,     310.0,     404.0,     176.0,       0.0,     141.0,     192.0,      50.0,     253.0,     268.0,     141.0
      45.0,     182.0,     151.0,      57.0,       2.0,     136.0,     132.0,     121.0,      55.0,     141.0,       0.0,      60.0,     132.0,     136.0,     136.0,     688.0
     305.0,     121.0,     209.0,     398.0,      10.0,     222.0,     162.0,     174.0,     215.0,     192.0,      60.0,       0.0,      48.0,     204.0,     215.0,      60.0
      61.0,     103.0,      49.0,      71.0,       7.0,      55.0,      53.0,      56.0,      53.0,      50.0,     132.0,      48.0,       0.0,      55.0,      55.0,     133.0
     188.0,      61.0,     631.0,     196.0,      13.0,     631.0,     283.0,     236.0,     157.0,     253.0,     136.0,     204.0,      55.0,       0.0,     616.0,     136.0
     201.0,      61.0,     623.0,     209.0,      13.0,     625.0,     271.0,     251.0,     160.0,     268.0,     136.0,     215.0,      55.0,     616.0,       0.0,     136.0
      45.0,     182.0,     151.0,      57.0,       2.0,     136.0,     132.0,     121.0,      55.0,     141.0,     688.0,      60.0,     133.0,     136.0,     136.0,       0.0
