# YP_680426.1,NP_044927.1,NP_049542.1,NP_043941.1,YP_068409.1,AAB95450.1,YP_077178.1,YP_077180.1,AAS99264.1,AAT46337.1,AAT46339.1,ABZ10812.1,ABI16639.1,ABA71701.1,ABA71699.1,pdb|4IOV|A
       0.0,      40.0,     180.0,     285.0,       6.0,     206.0,     141.0,     159.0,     136.0,     163.0,      41.0,     293.0,      55.0,     177.0,     190.0,      41.0
      40.0,       0.0,      59.0,      58.0,       6.0,      54.0,      55.0,      46.0,      80.0,      55.0,     170.0,     115.0,      90.0,      54.0,      54.0,     170.0
     180.0,      59.0,       0.0,     191.0,       2.0,     626.0,     270.0,     240.0,     147.0,     250.0,     148.0,     197.0,      43.0,     624.0,     616.0,     148.0
     285.0,      58.0,     191.0,       0.0,       7.0,     204.0,     163.0,     174.0,     162.0,     163.0,      52.0,     387.0,      64.0,     184.0,     197.0,      52.0
       6.0,       6.0,       2.0,       7.0,       0.0,      11.0,       2.0,       2.0,       7.0,       2.0,       1.0,       7.0,       5.0,      11.0,      11.0,       1.0
     206.0,      54.0,     626.0,     204.0,      11.0,       0.0,     275.0,     242.0,     148.0,     264.0,     132.0,     210.0,      49.0,     624.0,     618.0,     132.0
     141.0,      55.0,     270.0,     163.0,       2.0,     275.0,       0.0,     288.0,     135.0,     296.0,     128.0,     148.0,      47.0,     271.0,     260.0,     128.0
     159.0,      46.0,     240.0,     174.0,       2.0,     242.0,     288.0,       0.0,     167.0,     391.0,     116.0,     159.0,      50.0,     221.0,     237.0,     116.0
     136.0,      80.0,     147.0,     162.0,       7.0,     148.0,     135.0,     167.0,       0.0,     162.0,      50.0,     202.0,      48.0,     145.0,     148.0,      50.0
     163.0,      55.0,     250.0,     163.0,       2.0,     264.0,     296.0,     391.0,     162.0,       0.0,     138.0,     176.0,      44.0,     241.0,     257.0,     138.0
      41.0,     170.0,     148.0,      52.0,       1.0,     132.0,     128.0,     116.0,      50.0,     138.0,       0.0,      55.0,     117.0,     132.0,     132.0,     685.0
     293.0,     115.0,     197.0,     387.0,       7.0,     210.0,     148.0,     159.0,     202.0,     176.0,      55.0,       0.0,      42.0,     191.0,     203.0,      55.0
      55.0,      90.0,      43.0,      64.0,       5.0,      49.0,      47.0,      50.0,      48.0,      44.0,     117.0,      42.0,       0.0,      49.0,      49.0,     118.0
     177.0,      54.0,     624.0,     184.0,      11.0,     624.0,     271.0,     221.0,     145.0,     241.0,     132.0,     191.0,      49.0,       0.0,     608.0,     132.0
     190.0,      54.0,     616.0,     197.0,      11.0,     618.0,     260.0,     237.0,     148.0,     257.0,     132.0,     203.0,      49.0,     608.0,       0.0,     132.0
      41.0,     170.0,     148.0,      52.0,       1.0,     132.0,     128.0,     116.0,      50.0,     138.0,     685.0,      55.0,     118.0,     132.0,     132.0,       0.0
