# YP_680426.1,NP_044927.1,NP_049542.1,NP_043941.1,YP_068409.1,AAB95450.1,YP_077178.1,YP_077180.1,AAS99264.1,AAT46337.1,AAT46339.1,ABZ10812.1,ABI16639.1,ABA71701.1,ABA71699.1,pdb|4IOV|A
       0.0,     131.0,     321.0,     406.0,      76.0,     330.0,     288.0,     308.0,     271.0,     314.0,     129.0,     421.0,     129.0,     315.0,     323.0,     127.0
     131.0,       0.0,     150.0,     148.0,      63.0,     150.0,     150.0,     137.0,     151.0,     145.0,     294.0,     189.0,     242.0,     150.0,     151.0,     296.0
     321.0,     150.0,       0.0,     333.0,      63.0,     680.0,     381.0,     363.0,     289.0,     364.0,     208.0,     341.0,     122.0,     680.0,     672.0,     210.0
     406.0,     148.0,     333.0,       0.0,      67.0,     343.0,     304.0,     315.0,     304.0,     316.0,     142.0,     500.0,     144.0,     329.0,     337.0,     138.0
      76.0,      63.0,      63.0,      67.0,       0.0,      73.0,      66.0,      60.0,      67.0,      58.0,      54.0,      70.0,      51.0,      75.0,      75.0,      54.0
     330.0,     150.0,     680.0,     343.0,      73.0,       0.0,     384.0,     368.0,     289.0,     373.0,     205.0,     353.0,     125.0,     680.0,     674.0,     207.0
     288.0,     150.0,     381.0,     304.0,      66.0,     384.0,       0.0,     428.0,     265.0,     428.0,     194.0,     305.0,     122.0,     380.0,     373.0,     192.0
     308.0,     137.0,     363.0,     315.0,      60.0,     368.0,     428.0,       0.0,     317.0,     505.0,     186.0,     318.0,     121.0,     355.0,     363.0,     184.0
     271.0,     151.0,     289.0,     304.0,      67.0,     289.0,     265.0,     317.0,       0.0,     318.0,     128.0,     335.0,     121.0,     286.0,     289.0,     130.0
     314.0,     145.0,     364.0,     316.0,      58.0,     373.0,     428.0,     505.0,     318.0,       0.0,     193.0,     337.0,     114.0,     358.0,     366.0,     195.0
     129.0,     294.0,     208.0,     142.0,      54.0,     205.0,     194.0,     186.0,     128.0,     193.0,       0.0,     149.0,     286.0,     205.0,     206.0,     709.0
     421.0,     189.0,     341.0,     500.0,      70.0,     353.0,     305.0,     318.0,     335.0,     337.0,     149.0,       0.0,     125.0,     343.0,     345.0,     147.0
     129.0,     242.0,     122.0,     144.0,      51.0,     125.0,     122.0,     121.0,     121.0,     114.0,     286.0,     125.0,       0.0,     125.0,     126.0,     287.0
     315.0,     150.0,     680.0,     329.0,      75.0,     680.0,     380.0,     355.0,     286.0,     358.0,     205.0,     343.0,     125.0,       0.0,     672.0,     207.0
     323.0,     151.0,     672.0,     337.0,      75.0,     674.0,     373.0,     363.0,     289.0,     366.0,     206.0,     345.0,     126.0,     672.0,       0.0,     208.0
     127.0,     296.0,     210.0,     138.0,      54.0,     207.0,     192.0,     184.0,     130.0,     195.0,     709.0,     147.0,     287.0,     207.0,     208.0,       0.0
