# YP_680426.1,NP_044927.1,NP_049542.1,NP_043941.1,YP_068409.1,AAB95450.1,YP_077178.1,YP_077180.1,AAS99264.1,AAT46337.1,AAT46339.1,ABZ10812.1,ABI16639.1,ABA71701.1,ABA71699.1,pdb|4IOV|A
       0.0,     241.0,     447.0,     512.0,     182.0,     450.0,     425.0,     436.0,     404.0,     446.0,     254.0,     519.0,     240.0,     443.0,     445.0,     250.0
     241.0,       0.0,     263.0,     261.0,     164.0,     263.0,     263.0,     260.0,     254.0,     264.0,     409.0,     288.0,     386.0,     263.0,     264.0,     412.0
     447.0,     263.0,       0.0,     470.0,     177.0,     708.0,     478.0,     460.0,     418.0,     464.0,     309.0,     473.0,     240.0,     708.0,     704.0,     312.0
     512.0,     261.0,     470.0,       0.0,     179.0,     472.0,     432.0,     446.0,     435.0,     448.0,     269.0,     592.0,     252.0,     464.0,     465.0,     264.0
     182.0,     164.0,     177.0,     179.0,       0.0,     181.0,     180.0,     176.0,     177.0,     173.0,     157.0,     181.0,     150.0,     184.0,     184.0,     157.0
     450.0,     263.0,     708.0,     472.0,     181.0,       0.0,     479.0,     463.0,     416.0,     467.0,     309.0,     478.0,     240.0,     708.0,     704.0,     312.0
     425.0,     263.0,     478.0,     432.0,     180.0,     479.0,       0.0,     526.0,     399.0,     527.0,     294.0,     441.0,     239.0,     474.0,     471.0,     291.0
     436.0,     260.0,     460.0,     446.0,     176.0,     463.0,     526.0,       0.0,     448.0,     585.0,     288.0,     453.0,     239.0,     453.0,     456.0,     284.0
     404.0,     254.0,     418.0,     435.0,     177.0,     416.0,     399.0,     448.0,       0.0,     451.0,     251.0,     453.0,     237.0,     417.0,     416.0,     255.0
     446.0,     264.0,     464.0,     448.0,     173.0,     467.0,     527.0,     585.0,     451.0,       0.0,     291.0,     462.0,     236.0,     458.0,     461.0,     294.0
     254.0,     409.0,     309.0,     269.0,     157.0,     309.0,     294.0,     288.0,     251.0,     291.0,       0.0,     269.0,     431.0,     308.0,     310.0,     721.0
     519.0,     288.0,     473.0,     592.0,     181.0,     478.0,     441.0,     453.0,     453.0,     462.0,     269.0,       0.0,     241.0,     472.0,     470.0,     265.0
     240.0,     386.0,     240.0,     252.0,     150.0,     240.0,     239.0,     239.0,     237.0,     236.0,     431.0,     241.0,       0.0,     239.0,     239.0,     429.0
     443.0,     263.0,     708.0,     464.0,     184.0,     708.0,     474.0,     453.0,     417.0,     458.0,     308.0,     472.0,     239.0,       0.0,     704.0,     312.0
     445.0,     264.0,     704.0,     465.0,     184.0,     704.0,     471.0,     456.0,     416.0,     461.0,     310.0,     470.0,     239.0,     704.0,       0.0,     315.0
     250.0,     412.0,     312.0,     264.0,     157.0,     312.0,     291.0,     284.0,     255.0,     294.0,     721.0,     265.0,     429.0,     312.0,     315.0,       0.0
