# YP_680426.1,NP_044927.1,NP_049542.1,NP_043941.1,YP_068409.1,AAB95450.1,YP_077178.1,YP_077180.1,AAS99264.1,AAT46337.1,AAT46339.1,ABZ10812.1,ABI16639.1,ABA71701.1,ABA71699.1,pdb|4IOV|A
       0.0,      52.0,     205.0,     308.0,      14.0,     227.0,     167.0,     187.0,     156.0,     191.0,      50.0,     317.0,      67.0,     200.0,     213.0,      50.0
      52.0,       0.0,      73.0,      74.0,      10.0,      68.0,      67.0,      59.0,      93.0,      67.0,     194.0,     127.0,     117.0,      68.0,      68.0,     194.0
     205.0,      73.0,       0.0,     216.0,       6.0,     638.0,     294.0,     265.0,     171.0,     271.0,     155.0,     222.0,      55.0,     638.0,     630.0,     155.0
     308.0,      74.0,     216.0,       0.0,      15.0,     229.0,     191.0,     202.0,     188.0,     192.0,      63.0,     410.0,      78.0,     209.0,     222.0,      63.0
      14.0,      10.0,       6.0,      15.0,       0.0,      17.0,       6.0,       6.0,      15.0,       6.0,       3.0,      15.0,       9.0,      17.0,      17.0,       3.0
     227.0,      68.0,     638.0,     229.0,      17.0,       0.0,     299.0,     270.0,     173.0,     286.0,     141.0,     235.0,      61.0,     638.0,     632.0,     141.0
     167.0,      67.0,     294.0,     191.0,       6.0,     299.0,       0.0,     316.0,     159.0,     324.0,     137.0,     176.0,      59.0,     295.0,     282.0,     137.0
     187.0,      59.0,     265.0,     202.0,       6.0,     270.0,     316.0,       0.0,     193.0,     417.0,     127.0,     190.0,      62.0,     251.0,     265.0,     127.0
     156.0,      93.0,     171.0,     188.0,      15.0,     173.0,     159.0,     193.0,       0.0,     191.0,      61.0,     228.0,      58.0,     170.0,     173.0,      61.0
     191.0,      67.0,     271.0,     192.0,       6.0,     286.0,     324.0,     417.0,     191.0,       0.0,     145.0,     209.0,      56.0,     265.0,     279.0,     145.0
      50.0,     194.0,     155.0,      63.0,       3.0,     141.0,     137.0,     127.0,      61.0,     145.0,       0.0,      66.0,     148.0,     141.0,     141.0,     691.0
     317.0,     127.0,     222.0,     410.0,      15.0,     235.0,     176.0,     190.0,     228.0,     209.0,      66.0,       0.0,      54.0,     218.0,     228.0,      66.0
      67.0,     117.0,      55.0,      78.0,       9.0,      61.0,      59.0,      62.0,      58.0,      56.0,     148.0,      54.0,       0.0,      61.0,      61.0,     149.0
     200.0,      68.0,     638.0,     209.0,      17.0,     638.0,     295.0,     251.0,     170.0,     265.0,     141.0,     218.0,      61.0,       0.0,     624.0,     141.0
     213.0,      68.0,     630.0,     222.0,      17.0,     632.0,     282.0,     265.0,     173.0,     279.0,     141.0,     228.0,      61.0,     624.0,       0.0,     141.0
      50.0,     194.0,     155.0,      63.0,       3.0,     141.0,     137.0,     127.0,      61.0,     145.0,     691.0,      66.0,     149.0,     141.0,     141.0,       0.0
