# YP_680426.1,NP_044927.1,NP_049542.1,NP_043941.1,YP_068409.1,AAB95450.1,YP_077178.1,YP_077180.1,AAS99264.1,AAT46337.1,AAT46339.1,ABZ10812.1,ABI16639.1,ABA71701.1,ABA71699.1,pdb|4IOV|A
       0.0,     113.0,     298.0,     387.0,      60.0,     309.0,     264.0,     284.0,     246.0,     291.0,     109.0,     401.0,     113.0,     292.0,     301.0,     108.0
     113.0,       0.0,     132.0,     132.0,      48.0,     131.0,     132.0,     119.0,     137.0,     127.0,     274.0,     174.0,     215.0,     131.0,     132.0,     276.0
     298.0,     132.0,       0.0,     308.0,      46.0,     673.0,     364.0,     345.0,     265.0,     346.0,     193.0,     316.0,     104.0,     673.0,     665.0,     194.0
     387.0,     132.0,     308.0,       0.0,      53.0,     319.0,     281.0,     290.0,     277.0,     289.0,     122.0,     481.0,     129.0,     304.0,     313.0,     119.0
      60.0,      48.0,      46.0,      53.0,       0.0,      57.0,      49.0,      44.0,      52.0,      43.0,      39.0,      55.0,      38.0,      58.0,      58.0,      39.0
     309.0,     131.0,     673.0,     319.0,      57.0,       0.0,     367.0,     350.0,     266.0,     356.0,     188.0,     329.0,     108.0,     673.0,     667.0,     189.0
     264.0,     132.0,     364.0,     281.0,      49.0,     367.0,       0.0,     407.0,     242.0,     408.0,     179.0,     279.0,     106.0,     363.0,     355.0,     178.0
     284.0,     119.0,     345.0,     290.0,      44.0,     350.0,     407.0,       0.0,     292.0,     487.0,     171.0,     290.0,     105.0,     336.0,     345.0,     170.0
     246.0,     137.0,     265.0,     277.0,      52.0,     266.0,     242.0,     292.0,       0.0,     295.0,     111.0,     312.0,     104.0,     263.0,     266.0,     112.0
     291.0,     127.0,     346.0,     289.0,      43.0,     356.0,     408.0,     487.0,     295.0,       0.0,     180.0,     310.0,      98.0,     340.0,     349.0,     181.0
     109.0,     274.0,     193.0,     122.0,      39.0,     188.0,     179.0,     171.0,     111.0,     180.0,       0.0,     127.0,     257.0,     188.0,     189.0,     706.0
     401.0,     174.0,     316.0,     481.0,      55.0,     329.0,     279.0,     290.0,     312.0,     310.0,     127.0,       0.0,     107.0,     318.0,     321.0,     126.0
     113.0,     215.0,     104.0,     129.0,      38.0,     108.0,     106.0,     105.0,     104.0,      98.0,     257.0,     107.0,       0.0,     108.0,     109.0,     258.0
     292.0,     131.0,     673.0,     304.0,      58.0,     673.0,     363.0,     336.0,     263.0,     340.0,     188.0,     318.0,     108.0,       0.0,     664.0,     189.0
     301.0,     132.0,     665.0,     313.0,      58.0,     667.0,     355.0,     345.0,     266.0,     349.0,     189.0,     321.0,     109.0,     664.0,       0.0,     190.0
     108.0,     276.0,     194.0,     119.0,      39.0,     189.0,     178.0,     170.0,     112.0,     181.0,     706.0,     126.0,     258.0,     189.0,     190.0,       0.0
