# YP_680426.1,NP_044927.1,NP_049542.1,NP_043941.1,YP_068409.1,AAB95450.1,YP_077178.1,YP_077180.1,AAS99264.1,AAT46337.1,AAT46339.1,ABZ10812.1,ABI16639.1,ABA71701.1,ABA71699.1,pdb|4IOV|A
       0.0,      61.0,     220.0,     323.0,      19.0,     240.0,     183.0,     204.0,     169.0,     208.0,      57.0,     331.0,      74.0,     214.0,     227.0,      57.0
      61.0,       0.0,      82.0,      83.0,      14.0,      77.0,      76.0,      68.0,     101.0,      76.0,     207.0,     134.0,     133.0,      77.0,      77.0,     207.0
     220.0,      82.0,       0.0,     230.0,       9.0,     645.0,     307.0,     279.0,     186.0,     283.0,     160.0,     237.0,      62.0,     645.0,     637.0,     160.0
     323.0,      83.0,     230.0,       0.0,      20.0,     243.0,     207.0,     217.0,     201.0,     208.0,      70.0,     422.0,      86.0,     223.0,     236.0,      70.0
      19.0,      14.0,       9.0,      20.0,       0.0,      21.0,       9.0,       9.0,      20.0,       9.0,       6.0,      20.0,      13.0,      21.0,      21.0,       6.0
     240.0,      77.0,     645.0,     243.0,      21.0,       0.0,     311.0,     284.0,     188.0,     297.0,     147.0,     250.0,      68.0,     645.0,     639.0,     147.0
     183.0,      76.0,     307.0,     207.0,       9.0,     311.0,       0.0,     331.0,     172.0,     339.0,     142.0,     192.0,      66.0,     307.0,     295.0,     142.0
     204.0,      68.0,     279.0,     217.0,       9.0,     284.0,     331.0,       0.0,     208.0,     430.0,     133.0,     207.0,      69.0,     266.0,     279.0,     133.0
     169.0,     101.0,     186.0,     201.0,      20.0,     188.0,     172.0,     208.0,       0.0,     209.0,      68.0,     241.0,      65.0,     185.0,     188.0,      68.0
     208.0,      76.0,     283.0,     208.0,       9.0,     297.0,     339.0,     430.0,     209.0,       0.0,     149.0,     227.0,      63.0,     277.0,     290.0,     149.0
      57.0,     207.0,     160.0,      70.0,       6.0,     147.0,     142.0,     133.0,      68.0,     149.0,       0.0,      73.0,     165.0,     147.0,     147.0,     694.0
     331.0,     134.0,     237.0,     422.0,      20.0,     250.0,     192.0,     207.0,     241.0,     227.0,      73.0,       0.0,      62.0,     234.0,     243.0,      73.0
      74.0,     133.0,      62.0,      86.0,      13.0,      68.0,      66.0,      69.0,      65.0,      63.0,     165.0,      62.0,       0.0,      68.0,      68.0,     166.0
     214.0,      77.0,     645.0,     223.0,      21.0,     645.0,     307.0,     266.0,     185.0,     277.0,     147.0,     234.0,      68.0,       0.0,     632.0,     147.0
     227.0,      77.0,     637.0,     236.0,      21.0,     639.0,     295.0,     279.0,     188.0,     290.0,     147.0,     243.0,      68.0,     632.0,       0.0,     147.0
      57.0,     207.0,     160.0,      70.0,       6.0,     147.0,     142.0,     133.0,      68.0,     149.0,     694.0,      73.0,     166.0,     147.0,     147.0,       0.0
