# YP_680426.1,NP_044927.1,NP_049542.1,NP_043941.1,YP_068409.1,AAB95450.1,YP_077178.1,YP_077180.1,AAS99264.1,AAT46337.1,AAT46339.1,ABZ10812.1,ABI16639.1,ABA71701.1,ABA71699.1,pdb|4IOV|A
       0.0,      81.0,     255.0,     353.0,      36.0,     271.0,     221.0,     242.0,     201.0,     247.0,      76.0,     362.0,      88.0,     249.0,     260.0,      76.0
      81.0,       0.0,     101.0,     103.0,      26.0,      98.0,      98.0,      90.0,     117.0,      98.0,     236.0,     150.0,     168.0,      98.0,      99.0,     238.0
     255.0,     101.0,       0.0,     266.0,      21.0,     659.0,     335.0,     311.0,     223.0,     313.0,     171.0,     271.0,      76.0,     659.0,     651.0,     171.0
     353.0,     103.0,     266.0,       0.0,      33.0,     279.0,     240.0,     249.0,     234.0,     243.0,      88.0,     449.0,     104.0,     261.0,     272.0,      87.0
      36.0,      26.0,      21.0,      33.0,       0.0,      33.0,      21.0,      21.0,      32.0,      20.0,      17.0,      33.0,      23.0,      33.0,      33.0,      17.0
     271.0,      98.0,     659.0,     279.0,      33.0,       0.0,     338.0,     316.0,     225.0,     325.0,     162.0,     284.0,      82.0,     659.0,     653.0,     162.0
     221.0,      98.0,     335.0,     240.0,      21.0,     338.0,       0.0,     366.0,     204.0,     371.0,     155.0,     230.0,      80.0,     334.0,     324.0,     155.0
     242.0,      90.0,     311.0,     249.0,      21.0,     316.0,     366.0,       0.0,     246.0,     456.0,     148.0,     244.0,      83.0,     300.0,     311.0,     148.0
     201.0,     117.0,     223.0,     234.0,      32.0,     225.0,     204.0,     246.0,       0.0,     250.0,      85.0,     272.0,      80.0,     222.0,     225.0,      85.0
     247.0,      98.0,     313.0,     243.0,      20.0,     325.0,     371.0,     456.0,     250.0,       0.0,     160.0,     265.0,      77.0,     307.0,     318.0,     160.0
      76.0,     236.0,     171.0,      88.0,      17.0,     162.0,     155.0,     148.0,      85.0,     160.0,       0.0,      91.0,     205.0,     162.0,     163.0,     700.0
     362.0,     150.0,     271.0,     449.0,      33.0,     284.0,     230.0,     244.0,     272.0,     265.0,      91.0,       0.0,      78.0,     272.0,     277.0,      91.0
      88.0,     168.0,      76.0,     104.0,      23.0,      82.0,      80.0,      83.0,      80.0,      77.0,     205.0,      78.0,       0.0,      82.0,      83.0,     206.0
     249.0,      98.0,     659.0,     261.0,      33.0,     659.0,     334.0,     300.0,     222.0,     307.0,     162.0,     272.0,      82.0,       0.0,     648.0,     162.0
     260.0,      99.0,     651.0,     272.0,      33.0,     653.0,     324.0,     311.0,     225.0,     318.0,     163.0,     277.0,      83.0,     648.0,       0.0,     163.0
      76.0,     238.0,     171.0,      87.0,      17.0,     162.0,     155.0,     148.0,      85.0,     160.0,     700.0,      91.0,     206.0,     162.0,     163.0,       0.0
