# YP_680426.1,NP_044927.1,NP_049542.1,NP_043941.1,YP_068409.1,AAB95450.1,YP_077178.1,YP_077180.1,AAS99264.1,AAT46337.1,AAT46339.1,ABZ10812.1,ABI16639.1,ABA71701.1,ABA71699.1,pdb|4IOV|A
       0.0,      71.0,     237.0,     338.0,      26.0,     255.0,     202.0,     222.0,     183.0,     226.0,      66.0,     346.0,      81.0,     231.0,     243.0,      66.0
      71.0,       0.0,      91.0,      93.0,      19.0,      87.0,      86.0,      78.0,     109.0,      86.0,     220.0,     142.0,     150.0,      87.0,      87.0,     221.0
     237.0,      91.0,       0.0,     247.0,      13.0,     652.0,     321.0,     295.0,     203.0,     298.0,     165.0,     253.0,      69.0,     652.0,     644.0,     165.0
     338.0,      93.0,     247.0,       0.0,      25.0,     260.0,     223.0,     233.0,     216.0,     225.0,      78.0,     435.0,      95.0,     241.0,     253.0,      78.0
      26.0,      19.0,      13.0,      25.0,       0.0,      25.0,      13.0,      13.0,      25.0,      13.0,      10.0,      25.0,      17.0,      25.0,      25.0,      10.0
     255.0,      87.0,     652.0,     260.0,      25.0,       0.0,     324.0,     300.0,     205.0,     311.0,     154.0,     266.0,      75.0,     652.0,     646.0,     154.0
     202.0,      86.0,     321.0,     223.0,      13.0,     324.0,       0.0,     348.0,     187.0,     355.0,     148.0,     210.0,      73.0,     320.0,     309.0,     148.0
     222.0,      78.0,     295.0,     233.0,      13.0,     300.0,     348.0,       0.0,     226.0,     443.0,     140.0,     225.0,      76.0,     283.0,     295.0,     140.0
     183.0,     109.0,     203.0,     216.0,      25.0,     205.0,     187.0,     226.0,       0.0,     229.0,      76.0,     255.0,      72.0,     202.0,     205.0,      76.0
     226.0,      86.0,     298.0,     225.0,      13.0,     311.0,     355.0,     443.0,     229.0,       0.0,     154.0,     245.0,      70.0,     292.0,     304.0,     154.0
      66.0,     220.0,     165.0,      78.0,      10.0,     154.0,     148.0,     140.0,      76.0,     154.0,       0.0,      81.0,     184.0,     154.0,     154.0,     697.0
     346.0,     142.0,     253.0,     435.0,      25.0,     266.0,     210.0,     225.0,     255.0,     245.0,      81.0,       0.0,      70.0,     252.0,     259.0,      81.0
      81.0,     150.0,      69.0,      95.0,      17.0,      75.0,      73.0,      76.0,      72.0,      70.0,     184.0,      70.0,       0.0,      75.0,      75.0,     185.0
     231.0,      87.0,     652.0,     241.0,      25.0,     652.0,     320.0,     283.0,     202.0,     292.0,     154.0,     252.0,      75.0,       0.0,     640.0,     154.0
     243.0,      87.0,     644.0,     253.0,      25.0,     646.0,     309.0,     295.0,     205.0,     304.0,     154.0,     259.0,      75.0,     640.0,       0.0,     154.0
      66.0,     221.0,     165.0,      78.0,      10.0,     154.0,     148.0,     140.0,      76.0,     154.0,     697.0,      81.0,     185.0,     154.0,     154.0,       0.0
