JQLU01000005.1,EDR99618.1,JQKK01000015.1,AUJT01000030.1,ATWC01000054.1,ACV39665.1,ERL25782.1,KB890278.1,ERK53440.1,ERK48421.1,ERK47820.1,KGL43917.1,CBH27300.1,EUJ40903.1,ADQ78341.1,ETE53770.1,CDC65743.1,LARF01000048.1,ACOK01000100.1,JTLD01000029.1,GAE20957.1,EKB54193.1,AEK23281.1,KN549099.1,KIX21336.1,CCB70204.1,AMA48551.1,AEW86266.1,EHO06562.1,EHO08761.1,EKB06014.1,ADQ80738.1,KGE88582.1,KGL55352.1,ALJ25681.1,ALJ26029.1,ALO30226.1,ALA94104.1,GAP82240.1,ERJ81987.1,ERJ65637.1,ERJ65503.1,ERJ64231.1,AIJ36392.1,EOA10535.1,BAK25606.1,ERJ88434.1,ERJ87335.1,EIW94777.1,AAQ65551.1,KGN88274.1,KKC50278.1,KGN87312.1,KGN85385.1,KGN76020.1,KGO05347.1,KGL48767.1,KB899147.1,JHUW01000010.1,EJP27887.1,KIP58075.1,KIP63359.1,KIP62088.1,KIP58950.1,BAKF01000019.1,EFU31981.1,JVYU01002440.1,BAJY01000004.1,AFJ07523.1,KE392225.1,KJJ86756.1,EGQ18444.1,ERJ98772.1,BAJN01000005.1,EKY00089.1,BAKN01000001.1,AKP71851.1,AGC41344.1,AKQ40303.1,JTLI01000096.1,KDE72144.1,EHO19081.1,EIJ68860.1,JHXW01000011.1
       0.0,  114453.0,   20655.0,   22114.0,       0.0,   64639.0,  124417.0,    8749.0,   59049.0,   66340.0,   55404.0,   90882.0,   74115.0,  110565.0,   65853.0,   34020.0,  122229.0,  122958.0,  119556.0,  114939.0,   75330.0,   48843.0,   54918.0,   68040.0,   65611.0,   66825.0,   51516.0,   59778.0,   64639.0,   65124.0,   65124.0,   65853.0,   71442.0,   60750.0,   70471.0,   74358.0,   60750.0,   74358.0,  121257.0,   70471.0,   70471.0,  163053.0,  176661.0,   74358.0,   60750.0,   74358.0,  163053.0,   70471.0,   70471.0,   60750.0,   74358.0,   60750.0,   60993.0,   74358.0,   70471.0,   60750.0,   60750.0,   79947.0,   22599.0,   72415.0,   81405.0,   81405.0,   81405.0,   81405.0,   73143.0,   72415.0,   72415.0,   70956.0,   70713.0,   72657.0,   72900.0,   72900.0,   69499.0,   75088.0,   66826.0,   63180.0,  115911.0,  115911.0,   80190.0,  122958.0,   76302.0,  183952.0,   75330.0,   74116.0
  114453.0,       0.0,   39950.0,   42770.0,       0.0,  125020.0,  240640.0,   16920.0,  114210.0,  128310.0,  107161.0,  175780.0,  143351.0,  213850.0,  127372.0,   65800.0,  236433.0,  237843.0,  231254.0,  222311.0,  145703.0,   94471.0,  106221.0,  131600.0,  126901.0,  129252.0,   99640.0,  115621.0,  125020.0,  125960.0,  125960.0,  127371.0,  138181.0,  117501.0,  136300.0,  143821.0,  117501.0,  143821.0,  234531.0,  136300.0,  136300.0,  315371.0,  341691.0,  143821.0,  117501.0,  143821.0,  315371.0,  136300.0,  136300.0,  117501.0,  143821.0,  117501.0,  117971.0,  143821.0,  136300.0,  117501.0,  117501.0,  154630.0,   43711.0,  140061.0,  157451.0,  157451.0,  157451.0,  157451.0,  141471.0,  140061.0,  140061.0,  137241.0,  136771.0,  140531.0,  141001.0,  141001.0,  134420.0,  145230.0,  129250.0,  122200.0,  224191.0,  224191.0,  155101.0,  237820.0,  147581.0,  355790.0,  145701.0,  143350.0
   20655.0,   39950.0,       0.0,    7651.0,      13.0,   22344.0,   43008.0,    3024.0,   20412.0,   22932.0,   19152.0,   31416.0,   25620.0,   38220.0,   22764.0,   11761.0,   42252.0,   42504.0,   41329.0,   39732.0,   26040.0,   16884.0,   18984.0,   23520.0,   22680.0,   23100.0,   17808.0,   20664.0,   22344.0,   22512.0,   22512.0,   22764.0,   24696.0,   21000.0,   24361.0,   25704.0,   21000.0,   25704.0,   41916.0,   24361.0,   24361.0,   56364.0,   61068.0,   25704.0,   21000.0,   25704.0,   56364.0,   24361.0,   24361.0,   21000.0,   25704.0,   21000.0,   21084.0,   25704.0,   24361.0,   21000.0,   21000.0,   27636.0,    7812.0,   25032.0,   28140.0,   28140.0,   28140.0,   28140.0,   25284.0,   25032.0,   25032.0,   24528.0,   24444.0,   25116.0,   25200.0,   25200.0,   24024.0,   25956.0,   23100.0,   21842.0,   40068.0,   40068.0,   27720.0,   42504.0,   26376.0,   63590.0,   26040.0,   25620.0
   22114.0,   42770.0,    7651.0,       0.0,       0.0,   23940.0,   46080.0,    3241.0,   21870.0,   24571.0,   20520.0,   33660.0,   27450.0,   40950.0,   24390.0,   12600.0,   45270.0,   45541.0,   44281.0,   42570.0,   27900.0,   18090.0,   20340.0,   25200.0,   24302.0,   24750.0,   19080.0,   22140.0,   23940.0,   24120.0,   24120.0,   24390.0,   26460.0,   22500.0,   26101.0,   27540.0,   22500.0,   27540.0,   44910.0,   26101.0,   26101.0,   60390.0,   65430.0,   27540.0,   22500.0,   27540.0,   60390.0,   26101.0,   26101.0,   22500.0,   27540.0,   22500.0,   22590.0,   27540.0,   26101.0,   22500.0,   22500.0,   29611.0,    8371.0,   26820.0,   30150.0,   30150.0,   30150.0,   30150.0,   27090.0,   26820.0,   26820.0,   26280.0,   26190.0,   26910.0,   27000.0,   27000.0,   25740.0,   27811.0,   24750.0,   23400.0,   42930.0,   42930.0,   29700.0,   45540.0,   28260.0,   68131.0,   27900.0,   27451.0
       0.0,       0.0,      13.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0
   64639.0,  125020.0,   22344.0,   23940.0,       0.0,       0.0,  136187.0,    9540.0,   64397.0,   72900.0,   60438.0,   99111.0,   80826.0,  120576.0,   71815.0,   37100.0,  133296.0,  134090.0,  130380.0,  125345.0,   82150.0,   53265.0,   59890.0,   74200.0,   71550.0,   72875.0,   56180.0,   65190.0,   70491.0,   71020.0,   71020.0,   71815.0,   77910.0,   66250.0,   76850.0,   81090.0,   66250.0,   81090.0,  132235.0,   76850.0,   76850.0,  177815.0,  192655.0,   81090.0,   66250.0,   81090.0,  177815.0,   76850.0,   76850.0,   66250.0,   81090.0,   66250.0,   66515.0,   81090.0,   76850.0,   66250.0,   66250.0,   87185.0,   24645.0,   78971.0,   88775.0,   88775.0,   88775.0,   88775.0,   79766.0,   78971.0,   78971.0,   77380.0,   77116.0,   79236.0,   79501.0,   79501.0,   75791.0,   81886.0,   72876.0,   68900.0,  126405.0,  126405.0,   87450.0,  134090.0,   83210.0,  200605.0,   82150.0,   80825.0
  124417.0,  240640.0,   43008.0,   46080.0,       0.0,  136187.0,       0.0,   18396.0,  124175.0,  139834.0,  116521.0,  191115.0,  155855.0,  232506.0,  138481.0,   71540.0,  257034.0,  258566.0,  251412.0,  241703.0,  158410.0,  102711.0,  115486.0,  143080.0,  137970.0,  140525.0,  108332.0,  125706.0,  135927.0,  136948.0,  136948.0,  138481.0,  150234.0,  127750.0,  148190.0,  156366.0,  127750.0,  156366.0,  254989.0,  148190.0,  148190.0,  342881.0,  371497.0,  156366.0,  127750.0,  156366.0,  342881.0,  148190.0,  148190.0,  127750.0,  156366.0,  127750.0,  128261.0,  156366.0,  148190.0,  127750.0,  127750.0,  168119.0,   47523.0,  152279.0,  171185.0,  171185.0,  171185.0,  171185.0,  153812.0,  152279.0,  152279.0,  149212.0,  148702.0,  152790.0,  153301.0,  153301.0,  146147.0,  157900.0,  140526.0,  132860.0,  243747.0,  243747.0,  168630.0,  258566.0,  160454.0,  386827.0,  158410.0,  155855.0
    8749.0,   16920.0,    3024.0,    3241.0,       0.0,    9540.0,   18396.0,       0.0,    8505.0,    9556.0,    7980.0,   13090.0,   10675.0,   15925.0,    9485.0,    4900.0,   17605.0,   17710.0,   17220.0,   16555.0,   10850.0,    7035.0,    7910.0,    9800.0,    9451.0,    9625.0,    7420.0,    8610.0,    9310.0,    9381.0,    9380.0,    9485.0,   10290.0,    8750.0,   10151.0,   10710.0,    8750.0,   10710.0,   17465.0,   10151.0,   10151.0,   23485.0,   25445.0,   10710.0,    8750.0,   10710.0,   23485.0,   10151.0,   10151.0,    8750.0,   10710.0,    8750.0,    8785.0,   10710.0,   10151.0,    8750.0,    8750.0,   11515.0,    3255.0,   10430.0,   11725.0,   11725.0,   11725.0,   11725.0,   10535.0,   10430.0,   10430.0,   10220.0,   10185.0,   10465.0,   10500.0,   10500.0,   10010.0,   10815.0,    9626.0,    9100.0,   16695.0,   16695.0,   11550.0,   17710.0,   10990.0,   26496.0,   10850.0,   10677.0
   59049.0,  114210.0,   20412.0,   21870.0,       0.0,   64397.0,  124175.0,    8505.0,       0.0,   66067.0,   55177.0,   90509.0,   73810.0,  110111.0,   65582.0,   33880.0,  121727.0,  122452.0,  119064.0,  114467.0,   75020.0,   48642.0,   54692.0,   67760.0,   65340.0,   66550.0,   51304.0,   59532.0,   64372.0,   64857.0,   64857.0,   65582.0,   71148.0,   60500.0,   70180.0,   74052.0,   60500.0,   74052.0,  120758.0,   70180.0,   70180.0,  162382.0,  175934.0,   74052.0,   60500.0,   74052.0,  162382.0,   70180.0,   70180.0,   60500.0,   74052.0,   60500.0,   60742.0,   74052.0,   70180.0,   60500.0,   60500.0,   79618.0,   22506.0,   72116.0,   81070.0,   81070.0,   81070.0,   81070.0,   72843.0,   72116.0,   72116.0,   70664.0,   70423.0,   72359.0,   72601.0,   72601.0,   69212.0,   74778.0,   66550.0,   62920.0,  115434.0,  115434.0,   79860.0,  122452.0,   75988.0,  183194.0,   75020.0,   73810.0
   66340.0,  128310.0,   22932.0,   24571.0,       0.0,   72900.0,  139834.0,    9556.0,   66067.0,       0.0,   62029.0,  101730.0,   82960.0,  123762.0,   73712.0,   38080.0,  136817.0,  137632.0,  133824.0,  128656.0,   84320.0,   54672.0,   61472.0,   76160.0,   73441.0,   74800.0,   57664.0,   66912.0,   72352.0,   72896.0,   72896.0,   73712.0,   79968.0,   68000.0,   78881.0,   83232.0,   68000.0,   83232.0,  135728.0,   78881.0,   78881.0,  182512.0,  197744.0,   83232.0,   68000.0,   83232.0,  182512.0,   78881.0,   78881.0,   68000.0,   83232.0,   68000.0,   68272.0,   83232.0,   78881.0,   68000.0,   68000.0,   89488.0,   25296.0,   81056.0,   91120.0,   91120.0,   91120.0,   91120.0,   81873.0,   81056.0,   81056.0,   79424.0,   79153.0,   81329.0,   81601.0,   81601.0,   77792.0,   84048.0,   74800.0,   70720.0,  129744.0,  129744.0,   89760.0,  137632.0,   85408.0,  205905.0,   84320.0,   82961.0
